"","user_id","gender","age_group","city"
"51788",211065,"Мужчина","25-34","Москва"
"51828",1591187,"Женщина","25-34","Калуга"
"51938",1643500,"Женщина","15-24","Тольятти"
"52064",2236486,"Мужчина","25-34","Ростов-на-Дону"
"52073",1986860,"Женщина","25-34","Красноярск"
"52121",712012,"Женщина","35-44","Новосибирск"
"53165",441264,"Женщина","25-34","Москва"
"53765",192108,"Женщина","45-54","Москва"
"53829",888209,"Мужчина","25-34","Ростов-на-Дону"
"53893",2405827,"Женщина","25-34","Калуга"
"53908",1412734,"Женщина","65-74","Московская Область"
"54088",320745,"Женщина","55-64","Ростов-на-Дону"
"54098",1649460,"Мужчина","15-24","Ростов-на-Дону"
"54252",1736513,"Мужчина","25-34","Волгоград"
"54476",766173,"Женщина","45-54","Москва"
"54512",2629640,"Женщина","25-34","Новокузнецк"
"54515",1560463,"Женщина","25-34","Красноярск"
"55505",772061,"Женщина","45-54","Нижний Новгород"
"55896",1509850,"Женщина","25-34","Екатеринбург"
"55968",1368525,"Мужчина","15-24","Красноярск"
"56112",1591688,"Мужчина","25-34","Новокузнецк"
"56840",1190441,"Мужчина","35-44","Краснодар"
"57112",449723,"Женщина","15-24","Воронеж"
"57706",1737976,"Женщина","15-24","Ульяновск"
"57736",1091304,"Женщина","55-64","Екатеринбург"
"57824",1625644,"Мужчина","15-24","Москва"
"57924",1746299,"Мужчина","35-44","Москва"
"58032",1639113,"Женщина","25-34","Томск"
"58200",1310059,"Женщина","25-34","Ростов-на-Дону"
"58264",1218921,"Женщина","15-24","Краснодар"
"59430",1738628,"Мужчина","35-44","Саратов"
"59465",460584,"Мужчина","25-34","Москва"
"59575",1370107,"Мужчина","65-74","Москва"
"59881",1122039,"Женщина","45-54","Екатеринбург"
"61953",1399367,"Женщина","35-44","Воронеж"
"62174",285928,"Женщина","25-34","Воронеж"
"62750",447091,"Женщина","45-54","Москва"
"63254",767072,"Женщина","35-44","Московская Область"
"63672",1739193,"Мужчина","15-24","Пермь"
"63702",1627005,"Женщина","25-34","Астрахань"
"63772",1656570,"Женщина","25-34","Нижний Новгород"
"63928",596820,"Женщина","35-44","Санкт-Петербург"
"64236",2342840,"Мужчина","35-44","Томск"
"64240",1536258,"Женщина","25-34","Новосибирск"
"64420",320894,"Женщина","45-54","Красноярск"
"64469",1402893,"Женщина","25-34","Иркутск"
"65041",2126232,"Женщина","25-34","Новосибирск"
"65059",2261952,"Мужчина","65-74","Омск"
"65099",115758,"Женщина","25-34","Екатеринбург"
"65384",1154789,"Женщина","35-44","Новосибирск"
"66268",328656,"Женщина","25-34","Уфа"
"66340",1739993,"Женщина","35-44","Санкт-Петербург"
"66808",1142837,"Женщина","35-44","Краснодар"
"66925",1601549,"Женщина","25-34","Новокузнецк"
"67015",1109595,"Женщина","35-44","Краснодар"
"67321",1497526,"Мужчина","25-34","Красноярск"
"67681",758914,"Мужчина","15-24","Воронеж"
"68641",1493064,"Женщина","25-34","Екатеринбург"
"70084",1461876,"Женщина","35-44","Москва"
"70147",1429862,"Женщина","35-44","Красноярск"
"70237",2650174,"Мужчина","15-24","Московская Область"
"70238",1270594,"Женщина","25-34","Омск"
"70678",1472746,"Мужчина","35-44","Самара"
"71158",1179542,"Мужчина","25-34","Калининград"
"71338",1741389,"Женщина","25-34","Томск"
"71668",1742493,"Мужчина","35-44","Новосибирск"
"71688",1006950,"Мужчина","45-54","Иркутск"
"71820",1527867,"Мужчина","25-34","Воронеж"
"71823",854230,"Женщина","25-34","Новосибирск"
"72018",1390729,"Мужчина","45-54","Москва"
"72106",1706220,"Мужчина","25-34","Томск"
"72214",1631350,"Женщина","45-54","Москва"
"72313",794748,"Женщина","15-24","Новосибирск"
"72817",1596600,"Женщина","15-24","Тольятти"
"72925",1398376,"Мужчина","25-34","Новосибирск"
"73545",1742054,"Женщина","35-44","Волгоград"
"73622",1669462,"Мужчина","55-64","Курск"
"73846",1467556,"Женщина","25-34","Санкт-Петербург"
"73871",2353210,"Женщина","25-34","Волгоград"
"73913",1547967,"Мужчина","15-24","Томск"
"74202",849734,"Мужчина","35-44","Московская Область"
"76632",1029193,"Мужчина","25-34","Екатеринбург"
"77069",1130579,"Женщина","25-34","Уфа"
"77146",475803,"Женщина","45-54","Новосибирск"
"77566",1593369,"Женщина","15-24","Екатеринбург"
"77586",1067616,"Мужчина","25-34","Воронеж"
"77796",1742927,"Мужчина","15-24","Пермь"
"78371",862233,"Женщина","35-44","Екатеринбург"
"78491",1622066,"Женщина","45-54","Екатеринбург"
"78746",1742825,"Мужчина","55-64","Екатеринбург"
"78850",1436415,"Женщина","45-54","Москва"
"79090",1664481,"Женщина","45-54","Астрахань"
"79102",1542764,"Мужчина","25-34","Рязань"
"79158",1370121,"Мужчина","75 и старше","Новосибирск"
"80313",631462,"Мужчина","25-34","Москва"
"80453",1767776,"Мужчина","25-34","Самара"
"80530",1746195,"Женщина","25-34","Московская Область"
"80712",379597,"Мужчина","25-34","Московская Область"
"81225",818638,"Женщина","25-34","Тюмень"
"81369",1089031,"Мужчина","35-44","Москва"
"81375",1547370,"Женщина","25-34","Краснодар"
"81492",1492192,"Мужчина","25-34","Ростов-на-Дону"
"82758",2913629,"Женщина","15-24","Новосибирск"
"82759",283256,"Мужчина","25-34","Ростов-на-Дону"
"82849",1453880,"Женщина","25-34","Ростов-на-Дону"
"82891",1553823,"Женщина","25-34","Ставрополь"
"83116",342028,"Женщина","45-54","Воронеж"
"83233",1398998,"Женщина","25-34","Москва"
"83761",1536613,"Женщина","25-34","Воронеж"
"85048",1659847,"Женщина","35-44","Кемерово"
"85169",1608072,"Женщина","25-34","Нижний Новгород"
"85644",1414449,"Женщина","55-64","Тюмень"
"85865",758165,"Мужчина","25-34","Московская Область"
"86880",1431689,"Женщина","25-34","Санкт-Петербург"
"87400",1023002,"Мужчина","35-44","Москва"
"87532",284615,"Женщина","35-44","Ижевск"
"87604",518978,"Мужчина","35-44","Москва"
"87946",1169239,"Мужчина","25-34","Екатеринбург"
"88036",1329992,"Женщина","25-34","Москва"
"88072",1143684,"Женщина","35-44","Самара"
"88125",2259850,"Мужчина","15-24","Самара"
"88345",1385969,"Мужчина","55-64","Москва"
"88409",1526793,"Мужчина","25-34","Воронеж"
"88490",1711394,"Женщина","25-34","Томск"
"88520",1745813,"Женщина","25-34","Тольятти"
"88568",1569142,"Женщина","25-34","Иваново"
"88624",1441561,"Женщина","25-34","Волгоград"
"89118",1530193,"Мужчина","25-34","Новосибирск"
"89538",1745694,"Мужчина","35-44","Екатеринбург"
"90666",1290459,"Мужчина","25-34","Московская Область"
"90918",2350958,"Женщина","25-34","Екатеринбург"
"90922",1919666,"Женщина","35-44","Москва"
"90971",313068,"Мужчина","55-64","Санкт-Петербург"
"91408",1240854,"Женщина","35-44","Екатеринбург"
"91849",1746707,"Женщина","55-64","Москва"
"91939",406723,"Мужчина","35-44","Екатеринбург"
"92423",772270,"Женщина","25-34","Самара"
"92533",800724,"Женщина","25-34","Екатеринбург"
"92689",787896,"Мужчина","25-34","Москва"
"93379",635586,"Женщина","15-24","Новосибирск"
"94247",2173698,"Женщина","15-24","Красноярск"
"94248",1395910,"Женщина","25-34","Ростов-на-Дону"
"94440",1706436,"Мужчина","35-44","Москва"
"94476",1197266,"Мужчина","25-34","Москва"
"95068",336146,"Женщина","35-44","Краснодар"
"95080",1747699,"Женщина","35-44","Московская Область"
"95201",1223259,"Женщина","25-34","Челябинск"
"95657",1708070,"Женщина","35-44","Ульяновск"
"95699",1534151,"Мужчина","35-44","Томск"
"96505",1323174,"Мужчина","35-44","Екатеринбург"
"97433",1234987,"Женщина","35-44","Тюмень"
"97577",1752499,"Женщина","35-44","Оренбург"
"97619",1668049,"Женщина","45-54","Новокузнецк"
"97889",385903,"Мужчина","25-34","Москва"
"98513",1226085,"Мужчина","25-34","Екатеринбург"
"101110",1374268,"Женщина","25-34","Уфа"
"101414",2853420,"Мужчина","35-44","Волгоград"
"101416",658914,"Женщина","25-34","Краснодар"
"101922",738920,"Мужчина","25-34","Самара"
"102090",325038,"Женщина","35-44","Краснодар"
"102430",725922,"Женщина","25-34","Уфа"
"102529",401311,"Мужчина","35-44","Екатеринбург"
"103123",739794,"Женщина","25-34","Волгоград"
"103233",322532,"Женщина","45-54","Краснодар"
"103365",1630296,"Женщина","35-44","Казань"
"103743",741069,"Женщина","75 и старше","Санкт-Петербург"
"103842",767438,"Женщина","25-34","Тюмень"
"105172",744275,"Мужчина","45-54","Москва"
"105196",902272,"Женщина","25-34","Уфа"
"105200",282255,"Женщина","25-34","Воронеж"
"105540",180220,"Мужчина","25-34","Екатеринбург"
"105558",1747424,"Женщина","45-54","Ярославль"
"105919",1622188,"Женщина","15-24","Иваново"
"106143",1023814,"Женщина","55-64","Москва"
"106383",265528,"Женщина","45-54","Санкт-Петербург"
"107505",1706653,"Женщина","35-44","Новокузнецк"
"107726",700320,"Мужчина","15-24","Краснодар"
"107746",55671,"Мужчина","25-34","Санкт-Петербург"
"107867",662673,"Женщина","35-44","Пермь"
"108155",2429549,"Женщина","25-34","Московская Область"
"108195",744230,"Мужчина","25-34","Москва"
"109123",439275,"Женщина","25-34","Новосибирск"
"109179",2555744,"Мужчина","35-44","Екатеринбург"
"109211",379863,"Мужчина","25-34","Москва"
"109236",748009,"Женщина","35-44","Екатеринбург"
"109371",2117414,"Женщина","25-34","Москва"
"109711",883163,"Мужчина","35-44","Москва"
"109739",1435099,"Женщина","35-44","Краснодар"
"109745",1101054,"Мужчина","25-34","Волгоград"
"109844",369774,"Женщина","25-34","Новосибирск"
"109908",636248,"Мужчина","25-34","Москва"
"109932",294320,"Мужчина","65-74","Санкт-Петербург"
"110457",2154561,"Мужчина","25-34","Санкт-Петербург"
"110545",756201,"Мужчина","45-54","Москва"
"110815",795478,"Мужчина","25-34","Красноярск"
"110969",390709,"Мужчина","25-34","Москва"
"111004",1516023,"Женщина","15-24","Ярославль"
"112258",730575,"Женщина","65-74","Екатеринбург"
"112453",757519,"Женщина","25-34","Красноярск"
"112726",885587,"Женщина","45-54","Краснодар"
"113011",1706966,"Женщина","15-24","Московская Область"
"113055",318159,"Женщина","25-34","Краснодар"
"113250",877771,"Мужчина","35-44","Ростов-на-Дону"
"113686",654008,"Мужчина","15-24","Казань"
"113794",1917584,"Женщина","25-34","Тюмень"
"113962",437738,"Мужчина","15-24","Тольятти"
"114144",1895235,"Женщина","25-34","Омск"
"114417",2039507,"Мужчина","25-34","Москва"
"114459",1514102,"Мужчина","35-44","Екатеринбург"
"114725",806645,"Женщина","25-34","Пермь"
"114905",1992380,"Женщина","35-44","Барнаул"
"114968",1860033,"Женщина","25-34","Тамбов"
"115052",2010223,"Женщина","15-24","Пермь"
"115115",1030458,"Женщина","35-44","Москва"
"115196",1806856,"Женщина","65-74","Москва"
"115306",1136149,"Женщина","25-34","Ростов-на-Дону"
"115572",2141720,"Мужчина","25-34","Томск"
"115597",2424446,"Женщина","25-34","Белгород"
"115669",1554125,"Женщина","25-34","Астрахань"
"115741",697634,"Мужчина","25-34","Московская Область"
"117305",1204660,"Женщина","35-44","Екатеринбург"
"118137",1644801,"Женщина","15-24","Москва"
"118146",475161,"Женщина","25-34","Москва"
"118418",2040521,"Женщина","25-34","Москва"
"118481",1917386,"Женщина","15-24","Тольятти"
"118817",2041114,"Женщина","35-44","Воронеж"
"118997",1539668,"Мужчина","25-34","Томск"
"119129",1837898,"Мужчина","35-44","Москва"
"119311",1964595,"Мужчина","55-64","Новосибирск"
"119786",2322266,"Мужчина","45-54","Москва"
"119807",1498713,"Женщина","25-34","Екатеринбург"
"121167",1591735,"Женщина","25-34","Воронеж"
"121179",1499705,"Мужчина","25-34","Воронеж"
"121273",271323,"Женщина","25-34","Московская Область"
"121318",1944786,"Женщина","25-34","Москва"
"121372",325982,"Женщина","35-44","Екатеринбург"
"121396",2040703,"Женщина","25-34","Москва"
"121426",1987453,"Мужчина","25-34","Казань"
"121660",2423611,"Женщина","15-24","Москва"
"121672",365854,"Женщина","35-44","Ростов-на-Дону"
"121721",1282464,"Женщина","15-24","Уфа"
"121756",2041231,"Мужчина","45-54","Краснодар"
"121826",1085871,"Мужчина","35-44","Рязань"
"121906",1645212,"Мужчина","25-34","Ульяновск"
"122206",1582441,"Женщина","45-54","Москва"
"122404",1671230,"Мужчина","35-44","Самара"
"122504",1657426,"Мужчина","25-34","Томск"
"122644",2063919,"Женщина","25-34","Саранск"
"123589",320825,"Женщина","45-54","Краснодар"
"124609",317876,"Мужчина","25-34","Краснодар"
"125709",2045384,"Мужчина","35-44","Екатеринбург"
"125841",1612812,"Мужчина","15-24","Иваново"
"125845",2042620,"Мужчина","25-34","Москва"
"125915",438780,"Мужчина","25-34","Ростов-на-Дону"
"125971",2037055,"Женщина","25-34","Чебоксары"
"125975",395863,"Мужчина","35-44","Самара"
"125987",2042853,"Женщина","25-34","Тольятти"
"126057",1262118,"Мужчина","25-34","Москва"
"126167",1801610,"Мужчина","25-34","Нижний Новгород"
"126173",1799897,"Женщина","25-34","Нижний Новгород"
"126195",2318130,"Женщина","35-44","Москва"
"126196",1605725,"Женщина","45-54","Саратов"
"126406",655742,"Мужчина","25-34","Самара"
"127050",1909722,"Мужчина","25-34","Москва"
"127131",1574703,"Мужчина","55-64","Оренбург"
"127211",2043450,"Женщина","25-34","Московская Область"
"127310",2043578,"Мужчина","25-34","Иркутск"
"127345",420742,"Женщина","35-44","Москва"
"127579",1909227,"Женщина","25-34","Ульяновск"
"127667",1343154,"Мужчина","25-34","Тюмень"
"128417",2043449,"Мужчина","35-44","Самара"
"128910",332792,"Женщина","25-34","Екатеринбург"
"129290",1973858,"Мужчина","25-34","Ростов-на-Дону"
"129488",132682,"Женщина","25-34","Екатеринбург"
"130013",1373949,"Женщина","35-44","Омск"
"130381",1762649,"Женщина","15-24","Тольятти"
"130501",730787,"Женщина","25-34","Тюмень"
"130861",1752067,"Мужчина","25-34","Москва"
"131197",1802558,"Женщина","45-54","Томск"
"131323",1807635,"Женщина","15-24","Курск"
"131623",1231634,"Женщина","25-34","Челябинск"
"132001",2033325,"Женщина","15-24","Смоленск"
"132065",1835297,"Женщина","25-34","Новосибирск"
"132129",2714712,"Мужчина","55-64","Санкт-Петербург"
"132135",1885761,"Мужчина","35-44","Москва"
"132291",2037079,"Женщина","25-34","Набережные Челны"
"132321",1786334,"Женщина","45-54","Санкт-Петербург"
"132825",1836807,"Мужчина","15-24","Екатеринбург"
"132921",2345204,"Женщина","35-44","Ростов-на-Дону"
"132925",1654947,"Женщина","25-34","Новокузнецк"
"132926",1921879,"Мужчина","25-34","Новокузнецк"
"132942",1324455,"Мужчина","35-44","Новосибирск"
"133152",787686,"Женщина","25-34","Новосибирск"
"133167",472712,"Женщина","15-24","Московская Область"
"133179",1964903,"Женщина","25-34","Ярославль"
"133235",283935,"Женщина","45-54","Самара"
"134957",1833387,"Женщина","25-34","Самара"
"134987",261550,"Женщина","45-54","Волгоград"
"136227",2044012,"Мужчина","25-34","Томск"
"136283",1381929,"Мужчина","25-34","Тюмень"
"136391",2314796,"Женщина","55-64","Санкт-Петербург"
"136591",331623,"Женщина","35-44","Новосибирск"
"136982",1468376,"Женщина","55-64","Москва"
"137881",1855578,"Мужчина","45-54","Ульяновск"
"137911",2045649,"Женщина","15-24","Магнитогорск"
"137956",2171766,"Женщина","25-34","Воронеж"
"137957",292336,"Женщина","35-44","Ростов-на-Дону"
"138375",1936545,"Женщина","25-34","Москва"
"138615",247599,"Женщина","25-34","Самара"
"138777",1454161,"Женщина","15-24","Уфа"
"139011",855727,"Женщина","15-24","Рязань"
"139154",1271819,"Женщина","15-24","Москва"
"139275",1523363,"Женщина","25-34","Москва"
"139457",944403,"Мужчина","25-34","Москва"
"139561",1872711,"Мужчина","25-34","Московская Область"
"139562",1872890,"Мужчина","15-24","Московская Область"
"139790",776076,"Женщина","25-34","Воронеж"
"139890",896872,"Мужчина","25-34","Екатеринбург"
"140098",1753850,"Мужчина","25-34","Казань"
"140150",1599955,"Мужчина","25-34","Екатеринбург"
"140541",1446521,"Женщина","15-24","Москва"
"140629",1904622,"Женщина","15-24","Москва"
"140678",2046785,"Женщина","25-34","Орел"
"140777",1800671,"Мужчина","25-34","Санкт-Петербург"
"141047",1522380,"Женщина","35-44","Уфа"
"141075",1803629,"Мужчина","25-34","Саратов"
"141084",1639431,"Мужчина","35-44","Томск"
"142050",2525394,"Женщина","25-34","Саратов"
"142176",515579,"Женщина","35-44","Красноярск"
"142680",342545,"Мужчина","15-24","Волгоград"
"142736",2047677,"Женщина","55-64","Екатеринбург"
"142778",1778934,"Женщина","25-34","Тула"
"142798",1550966,"Женщина","25-34","Ульяновск"
"143087",1285717,"Мужчина","25-34","Красноярск"
"143093",2047673,"Мужчина","25-34","Москва"
"143142",1552108,"Женщина","35-44","Санкт-Петербург"
"143334",1385745,"Женщина","35-44","Ростов-на-Дону"
"143657",2737543,"Мужчина","15-24","Санкт-Петербург"
"143658",1250770,"Женщина","25-34","Санкт-Петербург"
"143840",1066289,"Женщина","45-54","Нижний Новгород"
"144050",1638435,"Мужчина","25-34","Санкт-Петербург"
"144338",1653925,"Мужчина","25-34","Иваново"
"144547",1388685,"Мужчина","25-34","Челябинск"
"144550",1196509,"Мужчина","25-34","Калуга"
"145333",1749565,"Женщина","25-34","Воронеж"
"145345",1749796,"Мужчина","15-24","Санкт-Петербург"
"145401",1362621,"Женщина","55-64","Москва"
"145641",1240567,"Женщина","35-44","Казань"
"145981",1345424,"Женщина","35-44","Московская Область"
"146113",1707591,"Женщина","25-34","Астрахань"
"146213",1750964,"Женщина","25-34","Челябинск"
"146273",797489,"Мужчина","25-34","Омск"
"146354",1751319,"Женщина","45-54","Красноярск"
"146498",961852,"Женщина","15-24","Новосибирск"
"146608",566941,"Женщина","35-44","Москва"
"146869",1389705,"Женщина","35-44","Новосибирск"
"146959",855929,"Женщина","25-34","Иркутск"
"147059",416146,"Женщина",NA,"Новосибирск"
"147062",416146,"Женщина","35-44","Новосибирск"
"147155",1751256,"Мужчина","25-34","Новосибирск"
"147175",917041,"Мужчина","25-34","Ростов-на-Дону"
"147205",318685,"Женщина","25-34","Краснодар"
"147304",295857,"Женщина","25-34","Краснодар"
"147880",356668,"Мужчина","35-44","Краснодар"
"149728",1707708,"Женщина","25-34","Казань"
"149729",2357942,"Мужчина","15-24","Казань"
"149874",1445699,"Мужчина","35-44","Челябинск"
"150028",1708901,"Мужчина","25-34","Ставрополь"
"150127",2536946,"Женщина","15-24","Краснодар"
"150139",1708366,"Женщина","25-34","Курск"
"150143",1753223,"Женщина","35-44","Омск"
"150359",126598,"Женщина","35-44","Москва"
"150395",283699,"Женщина","25-34","Екатеринбург"
"150515",877327,"Женщина","45-54","Новосибирск"
"150875",537985,"Женщина","15-24","Иваново"
"150939",587554,"Мужчина","25-34","Тюмень"
"150993",1752100,"Мужчина","25-34","Красноярск"
"151029",280463,"Женщина","15-24","Самара"
"151381",1046589,"Женщина","25-34","Челябинск"
"151480",2377986,"Женщина","25-34","Саратов"
"151522",2440931,"Мужчина","25-34","Ярославль"
"151530",2470179,"Мужчина","25-34","Санкт-Петербург"
"151531",1754230,"Мужчина","25-34","Новосибирск"
"152017",1445536,"Женщина","25-34","Тюмень"
