"","CE_id","user_id","mean_rate","satisfaction","avg_check","timediff_order"
"23233","CE_74",1834689,3.75,"Passives",110.995,106
"23329","CE_75",1486688,3.89,"Passives",107.52,63
"23378","CE_76",1568019,3.33,"Passives",97.405,88
"23495","CE_77",1207074,3.38,"Passives",114.36,153
"23815","CE_78",2035357,5,"Promoters",157.84,68
"23840","CE_79",1988072,0.69,"Detractors",49.405,78
"23858","CE_80",1920771,0,"NotDefined",335.21,91
"23867","CE_81",402845,3.65,"Passives",172.05,239
"25716","CE_82",2034878,4,"Promoters",134.095,90
"25968","CE_83",1763061,4.23,"Promoters",167.45,113
"25969","CE_84",876886,3.6,"Passives",114.46,157
"26089","CE_85",1906906,4.18,"Promoters",102.675,98
"26254","CE_86",1575822,3.39,"Passives",90.405,133
"26596","CE_87",1792154,3,NA,130.87,114
"26621","CE_88",1075343,0.67,"Detractors",148.835,173
"26720","CE_89",1749705,4.13,"Promoters",78.145,112
"26960","CE_90",342411,3.8,"Passives",143.355,157
"27660","CE_91",1821219,5,"Promoters",189.5,96
"28012","CE_92",2036576,0,"NotDefined",166.295,88
"28210","CE_93",1710297,4.5,"Promoters",138.31,96
"28320","CE_94",1587685,3,NA,127.145,127
"28780","CE_95",1634174,3.08,"Passives",138.415,116
"28962","CE_96",1754033,4.24,"Promoters",112.395,116
"29424","CE_97",841598,2.9,"Detractors",102.455,212
"30091","CE_98",1572544,4.06,"Promoters",165.935,121
"30469","CE_99",1814867,4.64,"Promoters",119.58,103
"30612","CE_100",1932936,1.25,"Detractors",110.475,95
"30684","CE_101",787739,3.33,"Passives",128.6,218
"30783","CE_102",1588032,1.67,"Detractors",114.43,126
"31089","CE_103",1850120,2.76,"Detractors",94.135,115
"31090","CE_104",1741668,2.76,"Detractors",94.135,115
"31091","CE_105",1243794,2.35,"Detractors",80.8,150
"31735","CE_106",465299,1.8,"Detractors",156.485,104
"31835","CE_107",1924665,5,"Promoters",151.715,85
"31934","CE_108",1995119,4.62,"Promoters",81.955,92
"32286","CE_109",1274349,4.44,"Promoters",133.435,111
"32574","CE_110",1497206,4.54,"Promoters",74.83,129
"32695","CE_111",1460950,1.11,"Detractors",235.3,142
"33055","CE_112",312590,2.5,"Detractors",71.8,207
"33429","CE_113",2036821,4.56,"Promoters",63.615,89
"33749","CE_114",1972965,4.72,"Promoters",153.975,96
"34901","CE_115",1597818,3.6,"Passives",228.9,113
"35031","CE_116",2092459,2.67,"Detractors",100.495,77
"35139","CE_117",1661086,0,"NotDefined",72.36,106
"35169","CE_118",1823681,3.44,"Passives",251.475,134
"35763","CE_119",1407146,3.08,"Passives",97.67,145
"35971","CE_120",1460764,0,"NotDefined",161.38,112
"36277","CE_121",2039409,5,"Promoters",126.605,48
"36307","CE_122",2037134,5,"Promoters",101.295,87
"36502","CE_123",1374498,0,"NotDefined",137.295,149
"36712","CE_124",320293,2.8,"Detractors",112.645,181
"36727","CE_125",1199234,4.03,"Promoters",158.605,142
"37595","CE_126",1918800,2.11,"Detractors",106.875,85
"37599","CE_127",2241605,2.11,"Detractors",106.875,85
"37668","CE_128",1981688,1.25,"Detractors",137.43,83
"37740","CE_129",1759859,1.12,"Detractors",77.15,104
"37782","CE_130",1956902,4.93,"Promoters",111.885,95
"38034","CE_131",2108740,2.86,"Detractors",75.88,62
"38132","CE_132",1271857,2,"Detractors",92.29,131
"38417","CE_133",1780823,1.43,"Detractors",118.32,89
"38473","CE_134",430845,2.86,"Detractors",138.305,121
"38477","CE_135",1784121,1.14,"Detractors",118.055,63
"38512","CE_136",1930220,4.33,"Promoters",97.83,94
"38737","CE_137",1096877,4,"Promoters",149.535,147
"39217","CE_138",1604507,3.39,"Passives",96.075,143
"39817","CE_139",2037969,2.73,"Detractors",124.735,83
"39993","CE_140",1410664,2.5,"Detractors",90.205,78
"40012","CE_141",1546903,2.26,"Detractors",148.235,130
"40849","CE_142",895684,3,NA,152.565,83
"40966","CE_143",940338,4.13,"Promoters",111.42,187
"42638","CE_144",1521326,4.46,"Promoters",90,135
"43080","CE_145",1695161,2.1,"Detractors",177.09,112
"43365","CE_146",1494623,0.46,"Detractors",250.215,129
"43497","CE_147",571726,4.75,"Promoters",249.24,92
"43513","CE_148",1852048,4.05,"Promoters",102.615,101
"43577","CE_149",682447,3.9,"Passives",91.31,142
"44413","CE_150",892664,1.19,"Detractors",87.31,203
"45001","CE_151",2038316,3.18,"Passives",76.21,69
"45100","CE_152",1576851,3.28,"Passives",138.725,133
"46684","CE_153",164991,2.71,"Detractors",60.26,92
"46705","CE_154",857041,1,"Detractors",80.94,196
"46750","CE_155",1670532,3.38,"Passives",126.76,120
"46790","CE_156",864811,2.07,"Detractors",86.26,206
"47000","CE_157",750660,3.71,"Passives",86.22,224
"47630","CE_158",1862224,0.91,"Detractors",63.57,81
"47784","CE_159",1138698,0,"NotDefined",131.12,108
"47790","CE_160",2038625,5,"Promoters",122.13,62
"47815","CE_161",1130757,3.5,"Passives",90.235,130
"48151","CE_162",2038641,2.94,"Detractors",216.76,75
"48827","CE_163",1851295,3,NA,76.765,88
"48907","CE_164",1923579,3.91,"Passives",275.6,73
"49061","CE_165",340420,2.27,"Detractors",124.695,196
"49237","CE_166",1066380,4.62,"Promoters",177.74,174
"49589","CE_167",1149175,4.09,"Promoters",213.035,163
"50949","CE_168",787960,3.57,"Passives",96.93,203
"51516","CE_169",1150304,3.75,"Passives",120.37,141
"51788","CE_170",211065,4,"Promoters",143.85,132
"51828","CE_171",1591187,0.73,"Detractors",133.665,119
"51938","CE_172",1643500,4.44,"Promoters",102.44,79
"52064","CE_173",2236486,0,"NotDefined",135.97,49
"52073","CE_174",1986860,1.67,"Detractors",109.025,89
"52121","CE_175",712012,4.31,"Promoters",132.42,162
"53165","CE_176",441264,3.38,"Passives",117.36,149
"53765","CE_177",192108,3.5,"Passives",74.2,109
"53829","CE_178",888209,1.88,"Detractors",117.43,175
"53893","CE_179",2405827,3.15,"Passives",118.82,117
"53908","CE_180",1412734,3,NA,257.56,158
"54088","CE_181",320745,2.72,"Detractors",72.58,131
"54098","CE_182",1649460,2.72,"Detractors",72.58,131
"54252","CE_183",1736513,2.86,"Detractors",153.04,102
"54476","CE_184",766173,1.5,"Detractors",129.625,207
"54512","CE_185",2629640,0,"NotDefined",122.15,13
"54515","CE_186",1560463,4.83,"Promoters",115.81,135
"55505","CE_187",772061,1.29,"Detractors",154.855,218
"55896","CE_188",1509850,3.75,"Passives",155.415,132
"55968","CE_189",1368525,0,"NotDefined",133.86,145
"56112","CE_190",1591688,3.42,"Passives",163.125,130
"56840","CE_191",1190441,3.06,"Passives",102.475,122
"57112","CE_192",449723,3.86,"Passives",103.565,212
"57706","CE_193",1737976,5,"Promoters",68.26,110
"57736","CE_194",1091304,3.09,"Passives",99.305,155
"57824","CE_195",1625644,3.7,"Passives",131.405,115
"57924","CE_196",1746299,0,"NotDefined",237.795,114
"58032","CE_197",1639113,2.5,"Detractors",140.83,126
"58200","CE_198",1310059,0,"NotDefined",172.44,142
"58264","CE_199",1218921,2.66,"Detractors",111.575,160
"59430","CE_200",1738628,4,"Promoters",45.545,92
"59465","CE_201",460584,2.2,"Detractors",148.645,199
"59575","CE_202",1370107,2.18,"Detractors",108.295,131
"59881","CE_203",1122039,2.07,"Detractors",159.66,156
"61953","CE_204",1399367,3.16,"Passives",120.775,104
"62174","CE_205",285928,3.33,"Passives",124.98,132
"62750","CE_206",447091,0.95,"Detractors",154.48,191
"63254","CE_207",767072,3.68,"Passives",168.68,216
"63672","CE_208",1739193,2.4,"Detractors",82.915,74
"63702","CE_209",1627005,4.29,"Promoters",71.26,107
"63772","CE_210",1656570,3.42,"Passives",78.155,119
"63928","CE_211",596820,4.86,"Promoters",55.91,108
"64236","CE_212",2342840,5,"Promoters",176.145,39
"64240","CE_213",1536258,0.25,"Detractors",156.73,131
"64420","CE_214",320894,1.5,"Detractors",103.93,140
"64469","CE_215",1402893,4.58,"Promoters",151.09,119
"65041","CE_216",2126232,1,"Detractors",121.39,84
"65059","CE_217",2261952,4.58,"Promoters",139.05,156
"65099","CE_218",115758,0.67,"Detractors",128.225,165
"65384","CE_219",1154789,3.97,"Passives",132.3,138
"66268","CE_220",328656,3.38,"Passives",165.925,194
"66340","CE_221",1739993,5,"Promoters",137.445,111
"66808","CE_222",1142837,5,"Promoters",146.295,140
"66925","CE_223",1601549,2.78,"Detractors",114.215,120
"67015","CE_224",1109595,3.82,"Passives",126.535,163
"67321","CE_225",1497526,0.28,"Detractors",104.41,134
"67681","CE_226",758914,3.97,"Passives",71.13,204
"68641","CE_227",1493064,3.93,"Passives",144.26,140
"70084","CE_228",1461876,2.14,"Detractors",179.295,119
"70147","CE_229",1429862,3,NA,216.63,129
"70237","CE_230",2650174,1.88,"Detractors",103.995,135
"70238","CE_231",1270594,4.5,"Promoters",73.86,129
"70678","CE_232",1472746,5,"Promoters",115.07,138
"71158","CE_233",1179542,0.93,"Detractors",103.775,157
"71338","CE_234",1741389,4.33,"Promoters",155.225,115
"71668","CE_235",1742493,0,"NotDefined",99.48,102
"71688","CE_236",1006950,3.91,"Passives",133.535,126
"71820","CE_237",1527867,0,"NotDefined",91.6,134
"71823","CE_238",854230,4.46,"Promoters",84.11,202
"72018","CE_239",1390729,0,"NotDefined",213.19,90
"72106","CE_240",1706220,4.22,"Promoters",123.58,118
"72214","CE_241",1631350,3.89,"Passives",141.715,116
"72313","CE_242",794748,1.14,"Detractors",63.91,209
"72817","CE_243",1596600,0.42,"Detractors",241.895,121
"72925","CE_244",1398376,4.25,"Promoters",175.455,146
"73545","CE_245",1742054,2,"Detractors",160.355,115
"73622","CE_246",1669462,3.71,"Passives",204.78,118
"73846","CE_247",1467556,2,"Detractors",136.035,126
"73871","CE_248",2353210,4.83,"Promoters",112.36,52
"73913","CE_249",1547967,0.29,"Detractors",120.535,117
"74202","CE_250",849734,4.11,"Promoters",229.505,210
"76632","CE_251",1029193,4.21,"Promoters",103.985,172
"77069","CE_252",1130579,2.14,"Detractors",119.83,118
"77146","CE_253",475803,4.5,"Promoters",76.595,210
"77566","CE_254",1593369,0,"NotDefined",95.365,108
"77586","CE_255",1067616,0.14,"Detractors",167.315,171
"77796","CE_256",1742927,1.09,"Detractors",174.885,114
"78371","CE_257",862233,3.8,"Passives",98.745,134
"78491","CE_258",1622066,3,NA,179.255,106
"78746","CE_259",1742825,5,"Promoters",112.17,64
"78850","CE_260",1436415,4.67,"Promoters",251.7,130
"79090","CE_261",1664481,1,"Detractors",100.66,101
"79102","CE_262",1542764,4.5,"Promoters",118.225,129
"79158","CE_263",1370121,1.88,"Detractors",110.235,148
"80313","CE_264",631462,0,"NotDefined",200.88,165
"80453","CE_265",1767776,3.57,"Passives",171.13,106
"80530","CE_266",1746195,4.31,"Promoters",142.065,112
"80712","CE_267",379597,3.9,"Passives",194.48,141
"81225","CE_268",818638,2.08,"Detractors",130.7,191
"81369","CE_269",1089031,1.6,"Detractors",76.82,200
"81375","CE_270",1547370,2.08,"Detractors",97.575,132
"81492","CE_271",1492192,0,"NotDefined",94.67,135
"81540","CE_272",1130757,4.07,"Promoters",97,153
"82758","CE_273",2913629,1.73,"Detractors",104.86,186
"82759","CE_274",283256,3.89,"Passives",114.665,192
"82849","CE_275",1453880,0.83,"Detractors",101.84,130
"82891","CE_276",1553823,0.33,"Detractors",252.85,110
"83116","CE_277",342028,1,"Detractors",85.38,121
"83233","CE_278",1398998,2.62,"Detractors",202.015,113
"83761","CE_279",1536613,4,"Promoters",81.94,124
"85048","CE_280",1659847,5,"Promoters",236.185,108
"85169","CE_281",1608072,3.68,"Passives",65.52,124
"85644","CE_282",1414449,1.92,"Detractors",145.735,135
"85865","CE_283",758165,4.34,"Promoters",197.805,224
"86880","CE_284",1431689,3.45,"Passives",106.89,106
"87400","CE_285",1023002,2.09,"Detractors",97.365,179
"87532","CE_286",284615,4.38,"Promoters",69.48,117
"87604","CE_287",518978,3.1,"Passives",98.93,140
"87946","CE_288",1169239,3.89,"Passives",96.995,103
"88036","CE_289",1329992,2.57,"Detractors",140.705,109
"88072","CE_290",1143684,1.84,"Detractors",98.04,167
"88125","CE_291",2259850,1.84,"Detractors",98.04,167
"88345","CE_292",1385969,3,NA,119.295,130
"88409","CE_293",1526793,0,"NotDefined",104.925,121
"88490","CE_294",1711394,4,"Promoters",141.54,112
"88520","CE_295",1745813,0.83,"Detractors",148.53,103
"88568","CE_296",1569142,5,"Promoters",68.33,119
"88624","CE_297",1441561,0.26,"Detractors",100.01,130
"89118","CE_298",1530193,2.65,"Detractors",211.945,136
"89538","CE_299",1745694,3.64,"Passives",108.55,119
"90666","CE_300",1290459,4.27,"Promoters",207.32,128
"90918","CE_301",2350958,1.96,"Detractors",130.605,130
"90922","CE_302",1919666,4.86,"Promoters",145.475,97
"90971","CE_303",313068,4.74,"Promoters",106.76,202
"91408","CE_304",1240854,4.24,"Promoters",98.265,125
"91849","CE_305",1746707,3.33,"Passives",111.595,106
"91939","CE_306",406723,4.68,"Promoters",132.56,144
"92423","CE_307",772270,3.5,"Passives",210.68,133
"92533","CE_308",800724,4.58,"Promoters",154.575,115
"92689","CE_309",787896,3.7,"Passives",226.955,116
"93379","CE_310",635586,3.57,"Passives",105.68,232
"94247","CE_311",2173698,0.83,"Detractors",324.105,116
"94248","CE_312",1395910,1.67,"Detractors",130.095,146
"94440","CE_313",1706436,2.5,"Detractors",273.655,98
"94476","CE_314",1197266,3.44,"Passives",113.62,123
"95068","CE_315",336146,2.31,"Detractors",126.975,213
"95080","CE_316",1747699,4.36,"Promoters",97.055,100
"95201","CE_317",1223259,3.1,"Passives",109.05,145
"95657","CE_318",1708070,1.67,"Detractors",147.45,64
"95699","CE_319",1534151,3.58,"Passives",242.595,128
"96505","CE_320",1323174,5,"Promoters",105.625,149
"97433","CE_321",1234987,2.5,"Detractors",119.355,147
"97577","CE_322",1752499,3.33,"Passives",237.885,107
"97619","CE_323",1668049,4.67,"Promoters",109.385,126
"97889","CE_324",385903,3.76,"Passives",179.14,217
"98513","CE_325",1226085,3.92,"Passives",136.84,159
"101110","CE_326",1374268,3.44,"Passives",226.06,127
"101414","CE_327",2853420,4.11,"Promoters",160.485,231
"101416","CE_328",658914,3.59,"Passives",104.065,238
"101922","CE_329",738920,4.17,"Promoters",77.035,208
"102090","CE_330",325038,1.76,"Detractors",90.45,223
"102430","CE_331",725922,1.67,"Detractors",110.385,203
"102529","CE_332",401311,4.17,"Promoters",172.45,153
"103123","CE_333",739794,2.5,"Detractors",138.58,210
"103233","CE_334",322532,4.54,"Promoters",126.99,222
"103365","CE_335",1630296,2.5,"Detractors",79.935,119
"103743","CE_336",741069,1.33,"Detractors",150.275,219
"103842","CE_337",767438,4.29,"Promoters",133.42,220
"105172","CE_338",744275,2.5,"Detractors",232.145,65
"105196","CE_339",902272,3.33,"Passives",89.12,132
"105200","CE_340",282255,2.82,"Detractors",112.555,224
"105540","CE_341",180220,1.88,"Detractors",123.325,200
"105558","CE_342",1747424,4.21,"Promoters",136.315,85
"105919","CE_343",1622188,3.79,"Passives",82.41,105
"106143","CE_344",1023814,1.94,"Detractors",158.86,184
"106383","CE_345",265528,4.68,"Promoters",93.815,141
"107505","CE_346",1706653,0.77,"Detractors",166.04,121
"107726","CE_347",700320,2.5,"Detractors",153.505,209
"107746","CE_348",55671,0,"NotDefined",206.955,208
"107867","CE_349",662673,4.36,"Promoters",144.825,208
"108155","CE_350",2429549,5,"Promoters",145.325,42
"108195","CE_351",744230,3.97,"Passives",116.735,227
"109123","CE_352",439275,4.71,"Promoters",153.42,231
"109179","CE_353",2555744,4.64,"Promoters",205.385,200
"109211","CE_354",379863,2,"Detractors",207.09,58
"109236","CE_355",748009,1.25,"Detractors",87.715,212
"109371","CE_356",2117414,5,"Promoters",139.325,228
"109711","CE_357",883163,2.75,"Detractors",139.83,204
"109739","CE_358",1435099,1.02,"Detractors",78.79,216
"109745","CE_359",1101054,3.33,"Passives",82.695,164
"109844","CE_360",369774,3.75,"Passives",135.725,215
"109908","CE_361",636248,2.5,"Detractors",195.965,98
"109932","CE_362",294320,4.33,"Promoters",246.605,225
"110457","CE_363",2154561,2.12,"Detractors",88.71,70
"110545","CE_364",756201,4,"Promoters",119.2,212
"110815","CE_365",795478,2.27,"Detractors",141.44,211
"110969","CE_366",390709,4,"Promoters",196.47,168
"111004","CE_367",1516023,1.11,"Detractors",101.61,118
"112258","CE_368",730575,1.53,"Detractors",105.735,227
"112453","CE_369",757519,3.85,"Passives",165.605,189
"112726","CE_370",885587,3.67,"Passives",125.085,202
"113011","CE_371",1706966,2.5,"Detractors",98.485,92
"113055","CE_372",318159,3.07,"Passives",91.27,217
"113250","CE_373",877771,0,"NotDefined",202.105,102
"113286","CE_374",758914,2.9,"Detractors",152.92,212
"113686","CE_375",654008,2.22,"Detractors",143.435,63
"113794","CE_376",1917584,3.33,"Passives",151.445,90
"113962","CE_377",437738,2.69,"Detractors",154.885,117
"114144","CE_378",1895235,3.29,"Passives",101.16,92
"114417","CE_379",2039507,2.14,"Detractors",87.46,76
"114459","CE_380",1514102,1.16,"Detractors",86.815,136
"114725","CE_381",806645,3.35,"Passives",109.15,210
"114905","CE_382",1992380,3.57,"Passives",98.15,92
"114968","CE_383",1860033,4,"Promoters",104.895,103
"115052","CE_384",2010223,1.29,"Detractors",72.035,65
"115115","CE_385",1030458,4.44,"Promoters",233.07,175
"115196","CE_386",1806856,0,"NotDefined",87.46,90
"115306","CE_387",1136149,4.29,"Promoters",103.06,117
"115572","CE_388",2141720,1.4,"Detractors",91.995,57
"115597","CE_389",2424446,3.33,"Passives",176.865,29
"115669","CE_390",1554125,3.12,"Passives",120.055,124
"115741","CE_391",697634,3.53,"Passives",160.28,238
"117305","CE_392",1204660,4.81,"Promoters",109.96,104
"118137","CE_393",1644801,0,"NotDefined",190.785,83
"118146","CE_394",475161,3.25,"Passives",110.805,93
"118418","CE_395",2040521,2.86,"Detractors",115.175,77
"118481","CE_396",1917386,3.77,"Passives",104.245,100
"118817","CE_397",2041114,3.5,"Passives",98.285,84
"118997","CE_398",1539668,3.73,"Passives",99.4,81
"119129","CE_399",1837898,3,NA,50.84,96
"119311","CE_400",1964595,3.16,"Passives",100.25,95
"119786","CE_401",2322266,0.71,"Detractors",132.19,96
"119807","CE_402",1498713,2.54,"Detractors",112.97,135
"121167","CE_403",1591735,0.46,"Detractors",76.34,112
"121179","CE_404",1499705,0.46,"Detractors",76.34,112
"121273","CE_405",271323,3,NA,153.815,113
"121318","CE_406",1944786,1.88,"Detractors",133.9,131
"121372","CE_407",325982,5,"Promoters",113.5,95
"121396","CE_408",2040703,4.8,"Promoters",90.5,76
"121426","CE_409",1987453,3.08,"Passives",99.675,95
"121660","CE_410",2423611,2.14,"Detractors",109.975,84
"121672","CE_411",365854,5,"Promoters",102.66,103
"121721","CE_412",1282464,2.14,"Detractors",99.385,83
"121756","CE_413",2041231,4.86,"Promoters",105.485,87
"121826","CE_414",1085871,1.75,"Detractors",63.015,84
"121906","CE_415",1645212,4.42,"Promoters",124.7,127
"122206","CE_416",1582441,2.56,"Detractors",128.28,111
"122404","CE_417",1671230,4.5,"Promoters",142.025,112
"122504","CE_418",1657426,2.5,"Detractors",182.415,105
"122644","CE_419",2063919,1.3,"Detractors",87.72,88
"123589","CE_420",320825,3.06,"Passives",78.395,154
"124609","CE_421",317876,0.91,"Detractors",103.95,223
"125709","CE_422",2045384,3.59,"Passives",93.925,131
"125841","CE_423",1612812,2.5,"Detractors",139.01,116
"125845","CE_424",2042620,1.43,"Detractors",156.635,90
"125915","CE_425",438780,3.89,"Passives",93.61,86
"125971","CE_426",2037055,2.44,"Detractors",81.305,79
"125975","CE_427",395863,4.09,"Promoters",84.825,132
"125987","CE_428",2042853,3,NA,100.09,86
"126057","CE_429",1262118,0.5,"Detractors",165.43,149
"126167","CE_430",1801610,3.23,"Passives",105.13,113
"126173","CE_431",1799897,3.23,"Passives",105.13,113
"126195","CE_432",2318130,0,"NotDefined",176.375,88
"126196","CE_433",1605725,3.93,"Passives",96.495,126
"126406","CE_434",655742,3.39,"Passives",118.96,187
"127050","CE_435",1909722,3.89,"Passives",142.705,103
"127131","CE_436",1574703,3.62,"Passives",238.185,116
"127211","CE_437",2043450,3.33,"Passives",149.57,85
"127310","CE_438",2043578,1,"Detractors",97.45,82
"127345","CE_439",420742,1.92,"Detractors",149.63,86
"127579","CE_440",1909227,2.27,"Detractors",106.345,92
"127667","CE_441",1343154,3.96,"Passives",105.355,132
"128417","CE_442",2043449,0.86,"Detractors",111.845,77
"128910","CE_443",332792,4.21,"Promoters",88.12,224
"129290","CE_444",1973858,5,"Promoters",86.77,78
"129488","CE_445",132682,0.24,"Detractors",142.215,234
"130013","CE_446",1373949,0.46,"Detractors",116.435,146
"130381","CE_447",1762649,2,"Detractors",200.25,114
"130501","CE_448",730787,3.76,"Passives",71.47,199
"130861","CE_449",1752067,1.88,"Detractors",119.205,101
"131197","CE_450",1802558,4.87,"Promoters",200.77,109
"131323","CE_451",1807635,3.67,"Passives",90.82,106
"131623","CE_452",1231634,3.06,"Passives",157.835,143
"132001","CE_453",2033325,2.9,"Detractors",299.435,79
"132065","CE_454",1835297,3.75,"Passives",120.525,102
"132129","CE_455",2714712,3.82,"Passives",73.475,88
"132135","CE_456",1885761,2.5,"Detractors",189,103
"132291","CE_457",2037079,0,"NotDefined",101.75,55
"132321","CE_458",1786334,0.7,"Detractors",202.04,109
"132825","CE_459",1836807,0.62,"Detractors",200.12,95
"132921","CE_460",2345204,0,"NotDefined",107.79,212
"132925","CE_461",1654947,2.5,"Detractors",91.71,99
"132926","CE_462",1921879,2.5,"Detractors",91.71,99
"132942","CE_463",1324455,3.43,"Passives",166.495,140
"133152","CE_464",787686,3.5,"Passives",133.87,210
"133167","CE_465",472712,4,"Promoters",203.4,80
"133179","CE_466",1964903,2.86,"Detractors",77.91,94
"133235","CE_467",283935,2.67,"Detractors",181.065,155
"134957","CE_468",1833387,3,NA,112.18,96
"134987","CE_469",261550,1.23,"Detractors",123.63,190
"136227","CE_470",2044012,5,"Promoters",102.71,77
"136283","CE_471",1381929,0,"NotDefined",176.595,145
"136373","CE_472",1290459,4.14,"Promoters",164.36,151
"136391","CE_473",2314796,3.8,"Passives",202.245,52
"136591","CE_474",331623,3.29,"Passives",207.63,149
"136982","CE_475",1468376,1.97,"Detractors",148.48,139
"137881","CE_476",1855578,3.33,"Passives",169.43,85
"137911","CE_477",2045649,3.4,"Passives",98.1,55
"137956","CE_478",2171766,3.75,"Passives",79.68,76
"137957","CE_479",292336,3.26,"Passives",90.775,205
"138375","CE_480",1936545,2.06,"Detractors",145.12,92
"138615","CE_481",247599,1.17,"Detractors",129.26,210
"138777","CE_482",1454161,4.69,"Promoters",90.725,141
"139011","CE_483",855727,3.73,"Passives",121.625,200
"139154","CE_484",1271819,2.73,"Detractors",245.8,132
"139275","CE_485",1523363,1.46,"Detractors",151.04,120
"139457","CE_486",944403,4.75,"Promoters",99.91,96
"139561","CE_487",1872711,2.86,"Detractors",164.675,104
"139562","CE_488",1872890,2.86,"Detractors",164.675,104
"139790","CE_489",776076,2.08,"Detractors",83.535,188
"139890","CE_490",896872,1.15,"Detractors",90.595,184
"140098","CE_491",1753850,2,"Detractors",92.52,101
"140150","CE_492",1599955,3.53,"Passives",112.95,125
"140541","CE_493",1446521,2.38,"Detractors",191.025,91
"140629","CE_494",1904622,2,"Detractors",184.985,79
"140678","CE_495",2046785,5,"Promoters",135.235,80
"140777","CE_496",1800671,1.33,"Detractors",84.82,106
"141047","CE_497",1522380,1.25,"Detractors",100.235,106
